rank,artist
1,The Beatles
2,Bob Dylan
3,Elvis Presley
4,The Rolling Stones
5,Chuck Berry
6,Jimi Hendrix
7,James Brown
8,Little Richard
9,Aretha Franklin
10,Ray Charles
11,Bob Marley
12,The Beach Boys
13,Buddy Holly
14,Led Zeppelin
15,Stevie Wonder
16,Sam Cooke
17,Muddy Waters
18,Marvin Gaye
19,The Velvet Underground
20,Bo Diddley
21,Otis Redding
22,U2
23,Bruce Springsteen
24,Jerry Lee Lewis
25,Fats Domino
26,Ramones
27,Nirvana
28,Prince
29,The Who
30,The Clash
31,Johnny Cash
32,The Miracles
33,The Everly Brothers
34,Neil Young
35,Michael Jackson
36,Madonna
37,Roy Orbison
38,John Lennon
39,David Bowie
40,Simon & Garfunkel
41,The Doors
42,Van Morrison
43,Sly & The Family Stone
44,Public Enemy
45,The Byrds
46,Janis Joplin
47,Patti Smith
48,Run-D.M.C.
49,Elton John
50,The Band
51,Howlin' Wolf
52,The Allman Brothers Band
53,Eric Clapton
54,Dr. Dre
55,Grateful Dead
56,Parliament
57,Aerosmith
58,Sex Pistols
59,Louis Jordan
60,Joni Mitchell
61,Tina Turner
62,Etta James
63,Mezzanine Owls
64,The Kinks
65,Al Green
66,Cream
67,The Temptations
68,Jackie Wilson
69,Carl Perkins
70,The Police
71,Frank Zappa
72,AC/DC
73,Radiohead
74,Hank Williams
75,Eagles
76,The Shirelles
77,Beastie Boys
78,The Stooges
79,Four Tops
80,Elvis Costello
81,The Drifters
82,Eminem
83,N.W.A
84,James Taylor
85,Black Sabbath
86,2Pac
87,Gram Parsons
88,Miles Davis
89,Yardbirds
90,Carlos Santana
91,Ricky Nelson
92,Guns n' Roses
93,Booker T. & The M.G.'s
94,Nine Inch Nails
95,Lynyrd Skynyrd
96,Martha and The Vandellas
97,The Supremes
98,Roxy Music
99,Curtis Mayfield
100,"Lee ""Scratch"" Perry"